City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Roebourne,AU,-20.7833,117.1333,66.7,37,0,16.31,clear sky
271,Andes,CO,5.6561,-75.8788,72.27,81,100,2.89,light rain
272,Adeje,ES,28.1227,-16.726,74.5,83,40,5.75,scattered clouds
273,Nanortalik,GL,60.1432,-45.2371,44.37,91,100,11.61,overcast clouds
274,Yanam,IN,16.7333,82.2167,74.26,95,100,7.11,overcast clouds
275,Quatre Cocos,MU,-20.2078,57.7625,71.1,75,3,12.97,clear sky
276,Vaitape,PF,-16.5167,-151.75,77.9,73,6,15.12,light rain
277,Belaya Gora,RU,68.5333,146.4167,33.76,70,100,5.21,overcast clouds
278,Vinh Yen,VN,21.31,105.5967,82.35,88,6,3.91,clear sky
279,Filadelfia,US,39.9523,-75.1638,87.87,47,75,23.02,broken clouds
280,Hamilton,US,39.1834,-84.5333,83.64,69,100,9.22,overcast clouds
281,San Juan,AR,-31.5375,-68.5364,58.91,40,28,10.69,scattered clouds
282,Dakar,SN,14.6937,-17.4441,84.33,74,40,4.61,scattered clouds
283,Barranca De Upia,CO,4.5696,-72.9668,86.23,59,100,1.45,overcast clouds
284,Orange Walk,BZ,17.8333,-88.8333,86.27,72,18,4.32,few clouds
285,Fortuna,US,40.5982,-124.1573,70.09,81,27,4.61,scattered clouds
286,Clyde River,CA,70.4692,-68.5914,35.83,100,100,14.97,light rain
287,Necochea,AR,-38.5473,-58.7368,52.48,84,100,16.53,overcast clouds
288,San Jeronimo,PE,-11.9472,-75.2829,66.2,36,34,6.13,scattered clouds
289,Indiana,US,40.0003,-86.2503,81.95,83,100,8.05,overcast clouds
290,Sao Filipe,CV,14.8961,-24.4956,78.93,75,41,9.51,scattered clouds
291,Iquitos,PE,-3.7481,-73.2472,95.04,49,40,4.61,scattered clouds
292,Lata,PT,40.1629,-8.3327,76.91,85,94,1.74,overcast clouds
293,Talas,TR,38.6908,35.5538,66.87,49,20,0.0,few clouds
294,Marawi,PH,7.9986,124.2928,68.92,92,100,3.04,overcast clouds
295,Lavrentiya,RU,65.5833,-171.0,37.71,80,100,5.73,overcast clouds
296,Tomohon,ID,1.3346,124.8392,67.14,87,98,2.17,overcast clouds
297,Bloomfield,US,40.8068,-74.1854,87.66,49,75,13.8,broken clouds
298,Pinega,RU,64.7001,43.3936,51.19,87,100,11.68,light rain
299,Hami,CN,42.8,93.45,67.19,19,1,1.39,clear sky
300,Luanda,AO,-8.8368,13.2343,71.6,88,20,2.3,few clouds
301,Meulaboh,ID,4.1363,96.1285,75.69,90,100,3.69,overcast clouds
302,Itamaraju,BR,-17.0392,-39.5311,75.47,59,98,7.92,overcast clouds
303,Vila Do Maio,CV,15.1333,-23.2167,81.39,73,28,12.46,scattered clouds
304,Karratha,AU,-20.7377,116.8463,66.16,37,0,17.4,clear sky
305,Payo,ID,-3.7508,103.6372,71.91,94,100,1.66,overcast clouds
306,Kavieng,PG,-2.5744,150.7967,80.06,77,50,8.55,light rain
307,Smidovich,RU,48.6,133.8167,37.72,66,91,20.89,overcast clouds
308,Palmer,US,42.1584,-72.3287,84.24,68,75,9.22,broken clouds
309,Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,17.27,clear sky
310,Pitimbu,BR,-7.4706,-34.8086,82.99,65,22,14.76,few clouds
311,Vardo,NO,70.3705,31.1107,46.38,93,75,20.71,light rain
312,Goundam,ML,16.4145,-3.6708,95.7,32,32,8.46,scattered clouds
313,Kibala,TD,9.1104,18.3463,80.55,83,20,0.0,few clouds
314,Antofagasta,CL,-23.65,-70.4,60.08,71,22,11.74,few clouds
315,Samarai,PG,-10.6167,150.6667,80.01,84,100,13.29,overcast clouds
316,Roma,US,43.2128,-75.4557,66.72,95,100,0.0,moderate rain
317,Carnarvon,AU,-24.8667,113.6333,59.83,61,0,14.5,clear sky
318,Kotelnich,RU,58.3089,48.348,56.35,83,100,12.82,overcast clouds
319,Livingston,GB,55.9029,-3.5226,58.28,80,0,5.75,clear sky
320,Brewster,US,41.3973,-73.6171,83.19,59,75,11.5,broken clouds
321,Kahului,US,20.8947,-156.47,82.42,74,40,20.71,scattered clouds
322,Jiaozuo,CN,35.2397,113.2331,69.82,50,100,7.99,overcast clouds
323,Bissora,GW,12.2231,-15.4475,77.07,92,100,5.55,moderate rain
324,Sarkand,KZ,45.41,79.9186,63.46,43,14,5.75,few clouds
325,Fort Walton Beach,US,30.4058,-86.6188,91.67,47,0,11.5,clear sky
326,Penzance,GB,50.1186,-5.5371,57.88,73,43,5.5,scattered clouds
327,Sebastian,US,35.1668,-94.2669,96.08,27,0,3.27,clear sky
328,Areosa,PT,41.7178,-8.8571,70.23,77,0,1.66,clear sky
329,Kavaratti,IN,10.5669,72.642,81.21,77,96,13.8,overcast clouds
330,Ilulissat,GL,69.2167,-51.1,35.62,93,100,6.91,fog
331,Cuiluan,CN,47.72,128.648,35.08,52,0,11.45,clear sky
332,Ouesso,CG,1.6136,16.0517,71.38,98,42,2.51,light rain
333,Pevek,RU,69.7008,170.3133,31.96,82,100,4.76,overcast clouds
334,Cascas,PE,-7.4833,-78.8167,75.61,43,100,12.37,overcast clouds
335,Alice Springs,AU,-23.7,133.8833,80.15,39,40,14.97,scattered clouds
336,Baykalsk,RU,51.5058,104.1469,49.93,67,97,6.96,overcast clouds
337,Lompoc,US,34.6391,-120.4579,68.14,96,100,4.61,light rain
338,North Platte,US,41.1239,-100.7654,80.49,57,0,4.61,clear sky
339,Matara,LK,5.9485,80.5353,77.95,88,100,10.0,overcast clouds
340,Namibe,AO,-15.1961,12.1522,62.82,83,11,10.0,few clouds
341,Puerto Leguizamo,CO,-0.1934,-74.7819,86.31,58,100,3.6,moderate rain
342,Sarangani,PH,5.4033,125.4636,83.21,72,100,2.26,overcast clouds
343,Launceston,AU,-41.45,147.1667,38.84,92,0,4.61,clear sky
344,Oksovskiy,RU,62.6062,39.8984,52.11,97,100,8.99,light rain
345,Soyo,AO,-6.1349,12.3689,74.52,87,12,9.69,few clouds
346,San Cristobal,VE,7.7669,-72.225,77.18,82,100,1.21,overcast clouds
347,Balingasay,PH,16.3573,119.8564,80.42,82,100,10.0,overcast clouds
348,Segou,ML,13.4317,-6.2157,80.65,71,100,6.71,overcast clouds
