City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Vaitape,PF,77.9,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
278,Vinh Yen,VN,82.35,clear sky,21.31,105.5967,Ngoc Lan Hotel - Vinh Phuc
279,Filadelfia,US,87.87,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
280,Hamilton,US,83.64,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
281,San Juan,AR,58.91,scattered clouds,-31.5375,-68.5364,Hotel Provincial
282,Dakar,SN,84.33,scattered clouds,14.6937,-17.4441,Novotel Dakar
283,Barranca De Upia,CO,86.23,overcast clouds,4.5696,-72.9668,HOTEL GUAICARAMO
285,Fortuna,US,70.09,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
286,Clyde River,CA,35.83,light rain,70.4692,-68.5914,Qamaq Hotel
287,Necochea,AR,52.48,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
288,San Jeronimo,PE,66.2,scattered clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
290,Sao Filipe,CV,78.93,scattered clouds,14.8961,-24.4956,Hotel Xaguate
291,Iquitos,PE,95.04,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
292,Lata,PT,76.91,overcast clouds,40.1629,-8.3327,Casa Maquia
293,Talas,TR,66.87,few clouds,38.6908,35.5538,Fimaj Residence
294,Marawi,PH,68.92,overcast clouds,7.9986,124.2928,Derogongan Residence
296,Tomohon,ID,67.14,overcast clouds,1.3346,124.8392,Gardenia Country Inn
297,Bloomfield,US,87.66,broken clouds,40.8068,-74.1854,Troy Carroll
298,Pinega,RU,51.19,light rain,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
299,Hami,CN,67.19,clear sky,42.8,93.45,Laoyutang Resort
300,Luanda,AO,71.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
301,Meulaboh,ID,75.69,overcast clouds,4.1363,96.1285,Kost Pria
302,Itamaraju,BR,75.47,overcast clouds,-17.0392,-39.5311,Hotel Vista Bela
303,Vila Do Maio,CV,81.39,scattered clouds,15.1333,-23.2167,Hotel Marilu
304,Karratha,AU,66.16,clear sky,-20.7377,116.8463,ibis Styles Karratha
305,Payo,ID,71.91,overcast clouds,-3.7508,103.6372,Mess keban agung
306,Kavieng,PG,80.06,light rain,-2.5744,150.7967,Nusa Island Retreat
307,Smidovich,RU,37.72,overcast clouds,48.6,133.8167,Gostinnitsa
308,Palmer,US,84.24,broken clouds,42.1584,-72.3287,Wedgewood Motel
309,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel San Juan
310,Pitimbu,BR,82.99,few clouds,-7.4706,-34.8086,Reserva do Abiaí
311,Vardo,NO,46.38,light rain,70.3705,31.1107,Vardø Hotel AS
313,Kibala,TD,80.55,few clouds,9.1104,18.3463,Prasant Hotels
314,Antofagasta,CL,60.08,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
315,Samarai,PG,80.01,overcast clouds,-10.6167,150.6667,Nuli Sapi
316,Roma,US,66.72,moderate rain,43.2128,-75.4557,Wingate By Wyndham Rome
317,Carnarvon,AU,59.83,clear sky,-24.8667,113.6333,Hospitality Carnarvon
318,Kotelnich,RU,56.35,overcast clouds,58.3089,48.348,Gostinitsa Tsentral'naya Kotel'nich
319,Livingston,GB,58.28,clear sky,55.9029,-3.5226,Mercure Livingston Hotel
320,Brewster,US,83.19,broken clouds,41.3973,-73.6171,Heidi's Inn
321,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
322,Jiaozuo,CN,69.82,overcast clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
324,Sarkand,KZ,63.46,few clouds,45.41,79.9186,Гостиница Сарканд
325,Fort Walton Beach,US,91.67,clear sky,30.4058,-86.6188,Best Western Ft. Walton Beachfront
326,Penzance,GB,57.88,scattered clouds,50.1186,-5.5371,Artist Residence Penzance
328,Areosa,PT,70.23,clear sky,41.7178,-8.8571,Hotel Flôr de Sal
